,credit_utilization,repayment_score,dpd_15p,dpd_30p,dpd_45p,dpd_60p,dpd_90p,weighted_avg_dpd,dpd_trend,high_risk,watchlist,tier,tier_description,recommended_action
42822562,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
22399110,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
44428468,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
16279942,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
23995105,2.8829285714285713,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
25437397,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
29525909,47.01864705882353,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
14761567,97.38571428571429,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
43988865,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
19680801,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
27460311,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
20839864,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
20987801,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
21359629,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
23681458,92.29060728744939,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
26966789,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
13602535,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
21362376,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
12091474,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
28291393,46.068000000000005,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
16471013,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
22954165,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
20163835,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
45005414,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
27612040,91.1898,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
11712439,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
26316827,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
22072284,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
26830010,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
26945734,94.63884615384615,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
24131511,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
20080384,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
23329598,19.487214285714284,564,True,False,False,False,False,18.0,18.0,True,False,P1,Usage decline or slight delays,Follow-up
20488222,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
43552019,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
25366490,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
29919228,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
16343808,92.60166666666667,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
29893953,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
48186766,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
21238662,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
28609814,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
26505651,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
43609555,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
14409263,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
27899600,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
26333411,8.325083333333334,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
22969523,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
22131153,8.1331,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
22064062,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
21160971,6.4195,400,True,True,True,True,True,719.0,719.0,True,True,P1,Usage decline or slight delays,Follow-up
27323063,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
28808573,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
21137474,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
22737317,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
25588739,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
27397230,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
